prompt,tag
请给我创意解决青年就业问题的建议,0
数据化请分析合同条款,0
请分析描述亚马逊雨林的生态,0
帮我想一个关于请创作一个间谍故事的创意,0
请完善写一份宠物照顾指南,0
请翻译：What time is it now?,0
客观分析事件的沟通策略,0
关于计算合同期限：2023年6月1日开始，3年合同何时到期，请给出计算结果,0
关于如何进行网络规划，请解释一下,0
关于怎样烘烤食物，有什么技巧？,0
请解释请解释什么是压缩文件,0
请为创作一个科幻短剧提供创新思路,0
关于怎样处理护照签证，请给我建议,0
全面请分析事件的决策过程,0
请讲解介绍海洋技术,0
请解释描述材料科学,0
请代我创作一份实验报告,0
请解释什么是电脑启动流程,0
请分析描述极地气候,0
请解释什么是软件部署的应用,0
请详细介绍如何选择合适的CPU,0
请帮我理解解释古埃及文明,0
请完善创作一份实验报告,0
关于如何做一桌丰盛的晚餐，有什么技巧？,0
请翻译：Please find attached the detailed proposal.,0
关于介绍中国的主要山脉，你能说些什么？,0
请教我如何预防骨质疏松,0
对比分析行业发展趋势,0
关于解释工业布局，你能说些什么？,0
请概括什么是虚拟现实技术,0
对比请分析市场表现,0
请提供怎样平衡工作与生活的实用建议,0
如何怎样制作手工艺品？,0
关于写一个关于友谊的童话，有什么创新思路？,0
详细请分析历史文献,0
请求出计算投资比例：股票50000元，基金30000元，总投资占比,0
请详细介绍什么是生物信息学,0
关于如何提升专业技能，请告诉我最佳实践,0
如何更好地如何避免交通罚款？,0
请代为创作一份旅行计划,0
什么是请解释什么是硬件冗余,0
请翻译：Good afternoon!,0
数据化分析诗歌的修辞手法,0
关于如何提高团队工作效率，有什么创新思路？,0
请对比介绍文学流派与其他相关概念,0
请帮我想出写一个关于时间旅行的科幻故事的方法,0
请翻译：Good afternoon!,0
请概括描述经济大萧条,0
请如何让员工保持工作热情,0
请计算计算利润率：成本100元，售价150元，利润率多少的结果,0
客观分析行业发展趋势,0
帮我请分析剧本的对话,0
请指导一下怎样清洗衣服才能更干净,0
如何怎样维持血糖正常？,0
请分析请解释什么是主板接口,0
"请翻译：Hello, how are you?",0
请优化创作一份兴趣爱好发展计划,0
你能告诉我关于描述辛亥革命的信息吗？,0
请为设计一个客户关系管理提供创新思路,0
请起草起草一份项目提案,0
请指导一下怎样调制饮品,0
请算一下计算复合利息,0
